window,buy_and_hold_return,strategy_return,alpha,buy_and_hold_prob,strategy_prob,alpha_prob
1,1.0,1.0,1.0,0.0,0.0,0.1360369609856263
2,1.000520367392265,1.0024064209190142,1.0043455317154857,0.48484848484848486,0.07344632768361582,0.46738572162300973
3,1.0009398244786039,1.0047848814236728,1.0085133963115844,0.49023638232271327,0.09815005138746145,0.47584789311408016
4,1.001312304012019,1.0074026314386013,1.0128684953840568,0.48226221079691517,0.11773778920308484,0.4879177377892031
5,1.001640114926005,1.0101887963451754,1.0172921852573098,0.4825102880658436,0.13477366255144033,0.49588477366255146
6,1.0020504264598595,1.0128028675799254,1.0215784463480502,0.47658260422027793,0.1487390633041688,0.5100360267627381
7,1.0025011936469133,1.0154009018460164,1.025275912646991,0.4685890834191555,0.16374871266735325,0.525231719876416
8,1.0029860451533326,1.0181319813405243,1.0292819365937769,0.4755280783101494,0.18031942297784648,0.5265327150953117
9,1.0034684878586417,1.0208807220199463,1.0330977833020953,0.4690721649484536,0.19123711340206184,0.5396907216494845
10,1.003864830891475,1.02369819288441,1.036851834435618,0.46106240330067044,0.20268179473955647,0.554925219185147
11,1.0044417232876934,1.0264810429438702,1.0404349746982215,0.46439628482972134,0.21568627450980393,0.5603715170278638
12,1.004857103790433,1.0292811035684917,1.044516632842614,0.47134744450180693,0.22818791946308725,0.5606608156943728
13,1.005229787243593,1.0319675211704897,1.0485109601302702,0.45919421487603307,0.2396694214876033,0.5759297520661157
14,1.0054457849918481,1.034684159305758,1.0525056122463279,0.4635658914728682,0.24909560723514212,0.5777777777777777
15,1.0056501866634535,1.0376157723544648,1.0566789472737825,0.45863495346432265,0.25853154084798347,0.5868665977249224
16,1.0058800344474013,1.0407269079769048,1.061018581451196,0.45732022762545266,0.26901189860320746,0.5954474909467149
17,1.0061507705008919,1.0439147089039311,1.065355844157957,0.4528985507246377,0.2784679089026915,0.6035196687370601
18,1.0064642576482992,1.0472238118672752,1.0698928978661473,0.4531330916623511,0.2879337131020197,0.6090108751941999
19,1.0067638141126867,1.0504977569775031,1.074528495307931,0.44974093264248705,0.29844559585492225,0.6202072538860104
20,1.0070855842524506,1.0537864120580578,1.0791511069591393,0.45152928978745466,0.3058579574909279,0.6236391912908242
21,1.007424177502449,1.0570873443118827,1.0837569617701033,0.45435684647302904,0.31275933609958506,0.6281120331950207
22,1.0078365149115385,1.0603939047664848,1.088434837615977,0.4509600415153088,0.32070576024909186,0.6320705760249092
23,1.008188514046773,1.063649687830026,1.0930048287509757,0.45067497403946,0.32710280373831774,0.6391484942886813
24,1.0084611674630752,1.0668575922005803,1.097535535263196,0.44363636363636366,0.33246753246753247,0.6467532467532467
25,1.008600009172909,1.0700270124548226,1.1019681990266383,0.4495841995841996,0.3399168399168399,0.6455301455301455
26,1.0087429847481006,1.0734185171683843,1.106543441844158,0.44877795111804475,0.3452938117524701,0.6448257930317213
27,1.008799830543459,1.076821836117553,1.1111146355115007,0.44484911550468265,0.35275754422476585,0.6514047866805411
28,1.0088742653514657,1.080192110671972,1.115772267133597,0.44508068714211346,0.36022904737116085,0.6579906298802707
29,1.0089867805678248,1.0836149200875076,1.1204380172509036,0.44427083333333334,0.36875,0.6630208333333333
30,1.0091383508221201,1.0871417034382103,1.1251907041050544,0.4491922876498176,0.37623762376237624,0.6675351745700886
31,1.0093626303318695,1.0908041129027353,1.1300476185248,0.4478623566214807,0.38269030239833157,0.6736183524504692
